num,tactic,example,battle,date,war,parties,friendly,enemy,location,outcome,front_png,back_png,front_webp,back_webp
1,Double Envelopment,"Cannae, 216 BCE",Battle of Cannae,216 BCE,Second Punic War,Hannibal vs. Rome,Carthaginian Forces,Roman Forces,"Apulia, southeastern Italy",Decisive Carthaginian victory,card_01_front_double_envelopment.png,card_01_back_battle_of_cannae.png,card_01_front.webp,card_01_back.webp
2,Flanking Attack,"Rossbach, 1757",Battle of Rossbach,1757,Seven Years’ War,Frederick the Great vs. Franco-Imperial Army,Prussian Forces,Franco-Imperial Forces,"Rossbach, central Germany",Decisive Prussian victory,card_02_front_flanking_attack.png,card_02_back_battle_of_rossbach.png,card_02_front.webp,card_02_back.webp
3,Single Envelopment,"Chancellorsville, 1863",Battle of Chancellorsville,1863,American Civil War,Lee & Jackson vs. Hooker,Confederate Forces,Union Forces,"Spotsylvania County, Virginia",Confederate victory,card_03_front_single_envelopment.png,card_03_back_battle_of_chancellorsville.png,card_03_front.webp,card_03_back.webp
4,Oblique Order,"Leuthen, 1757",Battle of Leuthen,1757,Seven Years’ War,Frederick the Great vs. Austria,Prussian Forces,Austrian Forces,"Silesia, near modern Wrocław",Decisive Prussian victory,card_04_front_oblique_order.png,card_04_back_battle_of_leuthen.png,card_04_front.webp,card_04_back.webp
5,Defense in Depth,"Kursk, 1943",Battle of Kursk,1943,Eastern Front,Germany vs. Soviet Union,Soviet Forces,German Forces,"Kursk salient, western Russia",Soviet strategic victory,card_05_front_defense_in_depth.png,card_05_back_battle_of_kursk.png,card_05_front.webp,card_05_back.webp
6,Feigned Retreat,"Hastings, 1066",Battle of Hastings,1066,Norman Conquest,William vs. Harold,Norman Forces,Anglo-Saxon Forces,"Near Hastings, southern England",Decisive Norman victory,card_06_front_feigned_retreat.png,card_06_back_battle_of_hastings.png,card_06_front.webp,card_06_back.webp
7,Pincer Movement,"Tannenberg, 1914",Battle of Tannenberg,1914,World War I,Germany vs. Russia,German Forces,Russian Second Army,East Prussia,Decisive German victory,card_07_front_pincer_movement.png,card_07_back_battle_of_tannenberg.png,card_07_front.webp,card_07_back.webp
8,Turning Movement,"Ulm Campaign, 1805",Ulm Campaign,1805,Napoleonic Wars,Napoleon vs. Mack,French Forces,Austrian Forces,"Ulm, southern Germany",Austrian army surrendered,card_08_front_turning_movement.png,card_08_back_ulm_campaign.png,card_08_front.webp,card_08_back.webp
9,Penetration,"Caporetto, 1917",Battle of Caporetto,1917,World War I,Central Powers vs. Italy,Austro-German Forces,Italian Forces,"Isonzo front, northeastern Italy",Central Powers breakthrough,card_09_front_penetration.png,card_09_back_battle_of_caporetto.png,card_09_front.webp,card_09_back.webp
10,Breakthrough,"Amiens, 1918",Battle of Amiens,1918,World War I,Allies vs. Germany,Allied Forces,German Forces,"Somme sector, France",Major Allied victory,card_10_front_breakthrough.png,card_10_back_battle_of_amiens.png,card_10_front.webp,card_10_back.webp
11,Exploitation,"Megiddo, 1918",Battle of Megiddo,1918,World War I,Allenby vs. Ottoman forces,Allied Forces,Ottoman Forces,Palestine front,Decisive Allied victory,card_11_front_exploitation.png,card_11_back_battle_of_megiddo.png,card_11_front.webp,card_11_back.webp
12,Encirclement,"Falaise Pocket, 1944",Falaise Pocket,1944,World War II,Allies vs. Germany,Allied Forces,German Forces,"Normandy, France",Major Allied victory,card_12_front_encirclement.png,card_12_back_falaise_pocket.png,card_12_front.webp,card_12_back.webp
13,Main Effort / Schwerpunkt,"Sedan, 1940",Breakthrough at Sedan,1940,World War II,Germany vs. France,German Forces,French Forces,"Sedan, France",German breakthrough,card_13_front_main_effort_schwerpunkt.png,card_13_back_breakthrough_at_sedan.png,card_13_front.webp,card_13_back.webp
14,Concentration of Force,"Austerlitz, 1805",Battle of Austerlitz,1805,Napoleonic Wars,Napoleon vs. Allies,French Forces,Austro-Russian Forces,"Moravia, near Slavkov",Decisive French victory,card_14_front_concentration_of_force.png,card_14_back_battle_of_austerlitz.png,card_14_front.webp,card_14_back.webp
15,Interior Lines,"Six Days’ Campaign, 1814",Six Days’ Campaign,1814,Napoleonic Wars,Napoleon vs. Coalition armies,French Forces,Coalition Forces,Northeastern France,Series of French victories,card_15_front_interior_lines.png,card_15_back_six_days_campaign.png,card_15_front.webp,card_15_back.webp
16,Economy of Force,"Austerlitz, 1805",Battle of Austerlitz,1805,Napoleonic Wars,Napoleon vs. Allies,French Forces,Austro-Russian Forces,"Moravia, near Slavkov",Decisive French victory,card_16_front_economy_of_force.png,card_16_back_battle_of_austerlitz.png,card_16_front.webp,card_16_back.webp
17,Reserve Commitment,"Waterloo, 1815",Battle of Waterloo,1815,Napoleonic Wars,Napoleon vs. Coalition,Allied Forces,French Forces,"Waterloo, Belgium",Coalition victory,card_17_front_reserve_commitment.png,card_17_back_battle_of_waterloo.png,card_17_front.webp,card_17_back.webp
18,Fix-and-Flank,"Cowpens, 1781",Battle of Cowpens,1781,American Revolutionary War,Morgan vs. Tarleton,American Forces,British Forces,South Carolina,American victory,card_18_front_fix_and_flank.png,card_18_back_battle_of_cowpens.png,card_18_front.webp,card_18_back.webp
19,Combined Arms Integration,"Cambrai, 1917",Battle of Cambrai,1917,World War I,Britain vs. Germany,British Forces,German Forces,Northern France,"Initial British success, then German counterattack",card_19_front_combined_arms_integration.png,card_19_back_battle_of_cambrai.png,card_19_front.webp,card_19_back.webp
20,Fire and Movement,"St. Mihiel, 1918",St. Mihiel Offensive,1918,World War I,United States & France vs. Germany,Allied Forces,German Forces,"Lorraine, France",Allied victory,card_20_front_fire_and_movement.png,card_20_back_st_mihiel_offensive.png,card_20_front.webp,card_20_back.webp
21,Creeping Barrage,"Vimy Ridge, 1917",Battle of Vimy Ridge,1917,World War I,Canada & Britain vs. Germany,Canadian Corps,German Forces,"Vimy Ridge, France",Allied victory,card_21_front_creeping_barrage.png,card_21_back_battle_of_vimy_ridge.png,card_21_front.webp,card_21_back.webp
22,Infiltration,"German Spring Offensive, 1918",Operation Michael,1918,World War I,Germany vs. Allies,German Forces,Allied Forces,Western Front,"Major German advance, no strategic decision",card_22_front_infiltration.png,card_22_back_operation_michael.png,card_22_front.webp,card_22_back.webp
23,Armored Spearhead,"Sedan, 1940",Breakthrough at Sedan,1940,World War II,Germany vs. France,German Panzer Forces,French Forces,Sedan and the Meuse,German breakthrough,card_23_front_armored_spearhead.png,card_23_back_breakthrough_at_sedan.png,card_23_front.webp,card_23_back.webp
24,Deep Battle,"Operation Bagration, 1944",Operation Bagration,1944,World War II,Soviet Union vs. Germany,Soviet Forces,German Army Group Centre,Belarus,Decisive Soviet victory,card_24_front_deep_battle.png,card_24_back_operation_bagration.png,card_24_front.webp,card_24_back.webp
25,Vertical Envelopment,"Crete, 1941",Battle of Crete,1941,World War II,Germany vs. Allied defenders,German Airborne Forces,Allied Forces,"Crete, eastern Mediterranean",German victory with heavy losses,card_25_front_vertical_envelopment.png,card_25_back_battle_of_crete.png,card_25_front.webp,card_25_back.webp
26,Raid,"St Nazaire Raid, 1942",St Nazaire Raid,1942,World War II,British Commandos vs. Germany,British Forces,German Forces,"St Nazaire, France",British objective achieved,card_26_front_raid.png,card_26_back_st_nazaire_raid.png,card_26_front.webp,card_26_back.webp
27,Spoiling Attack,"Arras, 1940",Battle of Arras,1940,World War II,Allies vs. Germany,British & French Forces,German Forces,"Arras, France","Tactical disruption, strategic German advance continued",card_27_front_spoiling_attack.png,card_27_back_battle_of_arras.png,card_27_front.webp,card_27_back.webp
28,Counterattack,"Khalkhin Gol, 1939",Battles of Khalkhin Gol,1939,Border conflict,Soviet-Mongolian forces vs. Japan,Soviet-Mongolian Forces,Japanese Forces,Mongolia-Manchuria border,Soviet-Mongolian victory,card_28_front_counterattack.png,card_28_back_battles_of_khalkhin_gol.png,card_28_front.webp,card_28_back.webp
29,Elastic Defense,"Passchendaele, 1917",Third Battle of Ypres,1917,World War I,Allies vs. Germany,German Defensive Forces,Allied Forces,"Ypres salient, Belgium",Allied advance at extreme cost,card_29_front_elastic_defense.png,card_29_back_third_battle_of_ypres.png,card_29_front.webp,card_29_back.webp
30,Delaying Action,"Dunkirk Perimeter, 1940",Dunkirk Perimeter,1940,World War II,Allies vs. Germany,Allied Rearguard,German Forces,Northern France,Allied evacuation enabled,card_30_front_delaying_action.png,card_30_back_dunkirk_perimeter.png,card_30_front.webp,card_30_back.webp
31,Fighting Withdrawal,"Retreat to the Marne, 1914",Retreat to the Marne,1914,World War I,Allies vs. Germany,British & French Forces,German Forces,Northern France,Allies preserved forces and counterattacked at the Marne,card_31_front_fighting_withdrawal.png,card_31_back_retreat_to_the_marne.png,card_31_front.webp,card_31_back.webp
32,Strongpoint Defense,"Stalingrad, 1942–43",Battle of Stalingrad,1942–43,World War II,Soviet Union vs. Germany,Soviet Forces,German Forces,"Stalingrad, USSR",Soviet victory,card_32_front_strongpoint_defense.png,card_32_back_battle_of_stalingrad.png,card_32_front.webp,card_32_back.webp
33,Chokepoint Defense,"Thermopylae, 480 BCE",Battle of Thermopylae,480 BCE,Greco-Persian Wars,Greek coalition vs. Persian Empire,Greek Forces,Persian Forces,"Thermopylae pass, Greece",Persian tactical victory after delay,card_33_front_chokepoint_defense.png,card_33_back_battle_of_thermopylae.png,card_33_front.webp,card_33_back.webp
34,Reverse-Slope Defense,"Busaco, 1810",Battle of Busaco,1810,Peninsular War,Wellington vs. Masséna,Anglo-Portuguese Forces,French Forces,Portugal,Anglo-Portuguese victory,card_34_front_reverse_slope_defense.png,card_34_back_battle_of_busaco.png,card_34_front.webp,card_34_back.webp
35,Refused Flank,"Little Round Top, 1863",Little Round Top,1863,American Civil War,Union vs. Confederacy,Union Forces,Confederate Forces,"Gettysburg, Pennsylvania",Union defensive success,card_35_front_refused_flank.png,card_35_back_little_round_top.png,card_35_front.webp,card_35_back.webp
36,Key Terrain Seizure,"Bunker Hill, 1775",Battle of Bunker Hill,1775,American Revolutionary War,Colonial forces vs. Britain,Colonial Forces,British Forces,"Charlestown, Massachusetts",British tactical victory at heavy cost,card_36_front_key_terrain_seizure.png,card_36_back_battle_of_bunker_hill.png,card_36_front.webp,card_36_back.webp
37,River Crossing / Bridgehead,"Remagen, 1945",Capture of Remagen Bridge,1945,World War II,United States vs. Germany,U.S. Forces,German Forces,"Remagen, Germany",Allied bridgehead across the Rhine,card_37_front_river_crossing_bridgehead.png,card_37_back_capture_of_remagen_bridge.png,card_37_front.webp,card_37_back.webp
38,Amphibious Landing,"Normandy, 1944",Normandy Landings,1944,World War II,Allies vs. Germany,Allied Forces,German Forces,"Normandy, France",Allied lodgment in France,card_38_front_amphibious_landing.png,card_38_back_normandy_landings.png,card_38_front.webp,card_38_back.webp
39,Siege Circumvallation,"Alesia, 52 BCE",Siege of Alesia,52 BCE,Gallic Wars,Caesar vs. Vercingetorix,Roman Forces,Gallic Forces,"Alesia, Gaul",Roman victory,card_39_front_siege_circumvallation.png,card_39_back_siege_of_alesia.png,card_39_front.webp,card_39_back.webp
40,Breach-and-Assault,"Constantinople, 1453",Fall of Constantinople,1453,Ottoman-Byzantine War,Ottomans vs. Byzantium,Ottoman Forces,Byzantine Defenders,Constantinople,Ottoman victory,card_40_front_breach_and_assault.png,card_40_back_fall_of_constantinople.png,card_40_front.webp,card_40_back.webp
41,Surprise Attack,"Trenton, 1776",Battle of Trenton,1776,American Revolutionary War,Washington vs. Hessian garrison,Continental Forces,Hessian Forces,"Trenton, New Jersey",American victory,card_41_front_surprise_attack.png,card_41_back_battle_of_trenton.png,card_41_front.webp,card_41_back.webp
42,Feint & Deception,"Operation Fortitude, 1944",Operation Fortitude,1944,World War II,Allies vs. Germany,Allied Deception Forces,German High Command,"Britain, Channel coast, and Normandy deception space",German reserves misdirected,card_42_front_feint_and_deception.png,card_42_back_operation_fortitude.png,card_42_front.webp,card_42_back.webp
43,Ambush,"Teutoburg Forest, 9 CE",Battle of Teutoburg Forest,9 CE,Roman-Germanic conflict,Germanic coalition vs. Rome,Germanic Forces,Roman Forces,"Teutoburg Forest, Germania",Roman defeat,card_43_front_ambush.png,card_43_back_battle_of_teutoburg_forest.png,card_43_front.webp,card_43_back.webp
44,Square Formation,"Abu Klea, 1885",Battle of Abu Klea,1885,Mahdist War,British column vs. Mahdist forces,British Forces,Mahdist Forces,Sudan,British tactical victory,card_44_front_square_formation.png,card_44_back_battle_of_abu_klea.png,card_44_front.webp,card_44_back.webp
45,Pike-and-Shot,"Pavia, 1525",Battle of Pavia,1525,Italian Wars,Imperial-Spanish forces vs. France,Imperial-Spanish Forces,French Forces,"Pavia, Italy",Imperial-Spanish victory,card_45_front_pike_and_shot.png,card_45_back_battle_of_pavia.png,card_45_front.webp,card_45_back.webp
46,Cavalry Shock,"Gaugamela, 331 BCE",Battle of Gaugamela,331 BCE,Alexander’s conquest of Persia,Macedon vs. Persia,Macedonian Forces,Persian Forces,"Near modern Mosul, Iraq",Macedonian victory,card_46_front_cavalry_shock.png,card_46_back_battle_of_gaugamela.png,card_46_front.webp,card_46_back.webp
47,Mounted Archery,"Carrhae, 53 BCE",Battle of Carrhae,53 BCE,Roman-Parthian War,Parthia vs. Rome,Parthian Forces,Roman Forces,"Near Carrhae, Mesopotamia",Parthian victory,card_47_front_mounted_archery.png,card_47_back_battle_of_carrhae.png,card_47_front.webp,card_47_back.webp
48,Swarming Attack,"Liegnitz, 1241",Battle of Liegnitz,1241,Mongol invasion of Europe,Mongols vs. European coalition,Mongol Forces,European Coalition,"Silesia, near Legnica",Mongol victory,card_48_front_swarming_attack.png,card_48_back_battle_of_liegnitz.png,card_48_front.webp,card_48_back.webp
49,Crossing the T,"Tsushima, 1905",Battle of Tsushima,1905,Russo-Japanese War,Japan vs. Russia,Japanese Fleet,Russian Baltic Fleet,Tsushima Strait,Decisive Japanese victory,card_49_front_crossing_the_t.png,card_49_back_battle_of_tsushima.png,card_49_front.webp,card_49_back.webp
50,Breaking the Line,"Trafalgar, 1805",Battle of Trafalgar,1805,Napoleonic Wars,Britain vs. Franco-Spanish fleet,British Fleet,Franco-Spanish Fleet,"Off Cape Trafalgar, Spain",Decisive British victory,card_50_front_breaking_the_line.png,card_50_back_battle_of_trafalgar.png,card_50_front.webp,card_50_back.webp
51,Carrier Strike,"Midway, 1942",Battle of Midway,1942,World War II,United States vs. Japan,U.S. Carrier Forces,Japanese Carrier Forces,Central Pacific,Decisive U.S. victory,card_51_front_carrier_strike.png,card_51_back_battle_of_midway.png,card_51_front.webp,card_51_back.webp
52,Air Superiority,"Battle of Britain, 1940",Battle of Britain,1940,World War II,Britain vs. Germany,Royal Air Force,Luftwaffe,United Kingdom airspace,British defensive victory,card_52_front_air_superiority.png,card_52_back_battle_of_britain.png,card_52_front.webp,card_52_back.webp
